"Index","Date_Time","Temperature_c","RH%"
1,2022-07-05 01:00:00,"23.3","44.8"
2,2022-07-05 01:01:00,"23.31","44.84"
3,2022-07-05 01:02:00,"23.3","44.81"
4,2022-07-05 01:03:00,"23.29","44.84"
5,2022-07-05 01:04:00,"23.28","44.79"
6,2022-07-05 01:05:00,"23.26","44.82"
7,2022-07-05 01:06:00,"23.26","44.8"
8,2022-07-05 01:07:00,"23.24","44.82"
9,2022-07-05 01:08:00,"23.25","44.79"
10,2022-07-05 01:09:00,"23.23","44.81"
11,2022-07-05 01:10:00,"23.23","44.81"
12,2022-07-05 01:11:00,"23.22","44.79"
13,2022-07-05 01:12:00,"23.2","44.77"
14,2022-07-05 01:13:00,"23.2","44.85"
15,2022-07-05 01:14:00,"23.2","44.82"
16,2022-07-05 01:15:00,"23.18","44.79"
17,2022-07-05 01:16:00,"23.18","44.82"
18,2022-07-05 01:17:00,"23.17","44.8"
19,2022-07-05 01:18:00,"23.17","44.79"
20,2022-07-05 01:19:00,"23.14","44.81"
21,2022-07-05 01:20:00,"23.13","44.8"
22,2022-07-05 01:21:00,"23.13","44.79"
23,2022-07-05 01:22:00,"23.13","44.81"
24,2022-07-05 01:23:00,"23.12","44.8"
25,2022-07-05 01:24:00,"23.11","44.77"
26,2022-07-05 01:25:00,"23.11","44.8"
27,2022-07-05 01:26:00,"23.09","44.82"
28,2022-07-05 01:27:00,"23.09","44.81"
29,2022-07-05 01:28:00,"23.08","44.81"
30,2022-07-05 01:29:00,"23.08","44.77"
31,2022-07-05 01:30:00,"23.05","44.81"
32,2022-07-05 01:31:00,"23.05","44.76"
33,2022-07-05 01:32:00,"23.05","44.78"
34,2022-07-05 01:33:00,"23.02","44.78"
35,2022-07-05 01:34:00,"23.02","44.78"
36,2022-07-05 01:35:00,"23.02","44.78"
37,2022-07-05 01:36:00,"23.02","44.76"
38,2022-07-05 01:37:00,"23.01","44.77"
39,2022-07-05 01:38:00,"23","44.77"
40,2022-07-05 01:39:00,"22.98","44.78"
41,2022-07-05 01:40:00,"22.97","44.78"
42,2022-07-05 01:41:00,"22.96","44.81"
43,2022-07-05 01:42:00,"22.96","44.77"
44,2022-07-05 01:43:00,"22.96","44.79"
45,2022-07-05 01:44:00,"22.94","44.78"
46,2022-07-05 01:45:00,"22.95","44.76"
47,2022-07-05 01:46:00,"22.93","44.78"
48,2022-07-05 01:47:00,"22.91","44.77"
49,2022-07-05 01:48:00,"22.92","44.76"
50,2022-07-05 01:49:00,"22.9","44.79"
51,2022-07-05 01:50:00,"22.9","44.78"
52,2022-07-05 01:51:00,"22.89","44.79"
53,2022-07-05 01:52:00,"22.88","44.76"
54,2022-07-05 01:53:00,"22.88","44.75"
55,2022-07-05 01:54:00,"22.87","44.76"
56,2022-07-05 01:55:00,"22.85","44.81"
57,2022-07-05 01:56:00,"22.85","44.77"
58,2022-07-05 01:57:00,"22.85","44.78"
59,2022-07-05 01:58:00,"22.85","44.75"
60,2022-07-05 01:59:00,"22.83","44.79"
