"Index","Date_Time","Temperature_c","RH%"
1,2022-07-05 01:00:00,"20.34","56.39"
2,2022-07-05 01:01:00,"20.34","56.32"
3,2022-07-05 01:02:00,"20.34","56.32"
4,2022-07-05 01:03:00,"20.32","56.5"
5,2022-07-05 01:04:00,"20.28","56.51"
6,2022-07-05 01:05:00,"20.28","56.63"
7,2022-07-05 01:06:00,"20.28","56.69"
8,2022-07-05 01:07:00,"20.27","56.92"
9,2022-07-05 01:08:00,"20.24","57.04"
10,2022-07-05 01:09:00,"20.23","57.17"
11,2022-07-05 01:10:00,"20.22","57.13"
12,2022-07-05 01:11:00,"20.23","57.23"
13,2022-07-05 01:12:00,"20.24","57.27"
14,2022-07-05 01:13:00,"20.26","57.31"
15,2022-07-05 01:14:00,"20.27","57.33"
16,2022-07-05 01:15:00,"20.27","57.38"
17,2022-07-05 01:16:00,"20.27","57.48"
18,2022-07-05 01:17:00,"20.26","57.46"
19,2022-07-05 01:18:00,"20.26","57.56"
20,2022-07-05 01:19:00,"20.27","57.55"
21,2022-07-05 01:20:00,"20.28","57.66"
22,2022-07-05 01:21:00,"20.29","57.67"
23,2022-07-05 01:22:00,"20.28","57.78"
24,2022-07-05 01:23:00,"20.28","57.84"
25,2022-07-05 01:24:00,"20.26","57.93"
26,2022-07-05 01:25:00,"20.23","58"
27,2022-07-05 01:26:00,"20.23","58.09"
28,2022-07-05 01:27:00,"20.22","58.19"
29,2022-07-05 01:28:00,"20.2","58.3"
30,2022-07-05 01:29:00,"20.19","58.37"
31,2022-07-05 01:30:00,"20.17","58.46"
32,2022-07-05 01:31:00,"20.18","58.6"
33,2022-07-05 01:32:00,"20.15","58.79"
34,2022-07-05 01:33:00,"20.12","58.8"
35,2022-07-05 01:34:00,"20.1","58.91"
36,2022-07-05 01:35:00,"20.1","59.03"
37,2022-07-05 01:36:00,"20.09","59.23"
38,2022-07-05 01:37:00,"20.08","59.32"
39,2022-07-05 01:38:00,"20.06","59.38"
40,2022-07-05 01:39:00,"20.04","59.47"
41,2022-07-05 01:40:00,"20.01","59.56"
42,2022-07-05 01:41:00,"19.99","59.58"
