"Index","Date_Time","Temperature_c","RH%"
1,2022-07-05 01:00:00,"20.64","54.85"
2,2022-07-05 01:01:00,"20.64","54.94"
3,2022-07-05 01:02:00,"20.65","55.1"
4,2022-07-05 01:03:00,"20.65","55.04"
5,2022-07-05 01:04:00,"20.68","55.16"
6,2022-07-05 01:05:00,"20.68","55.18"
7,2022-07-05 01:06:00,"20.67","55.22"
8,2022-07-05 01:07:00,"20.68","55.21"
9,2022-07-05 01:08:00,"20.69","55.33"
10,2022-07-05 01:09:00,"20.67","55.47"
11,2022-07-05 01:10:00,"20.66","55.4"
12,2022-07-05 01:11:00,"20.66","55.49"
13,2022-07-05 01:12:00,"20.65","55.55"
14,2022-07-05 01:13:00,"20.64","55.6"
15,2022-07-05 01:14:00,"20.63","55.69"
16,2022-07-05 01:15:00,"20.63","55.72"
17,2022-07-05 01:16:00,"20.63","55.8"
18,2022-07-05 01:17:00,"20.63","55.89"
19,2022-07-05 01:18:00,"20.62","55.93"
20,2022-07-05 01:19:00,"20.62","56.06"
21,2022-07-05 01:20:00,"20.6","56.06"
22,2022-07-05 01:21:00,"20.6","56.19"
23,2022-07-05 01:22:00,"20.59","56.28"
24,2022-07-05 01:23:00,"20.56","56.35"
25,2022-07-05 01:24:00,"20.55","56.49"
26,2022-07-05 01:25:00,"20.55","56.59"
27,2022-07-05 01:26:00,"20.53","56.64"
28,2022-07-05 01:27:00,"20.52","56.87"
29,2022-07-05 01:28:00,"20.49","56.92"
30,2022-07-05 01:29:00,"20.47","57.01"
31,2022-07-05 01:30:00,"20.44","57.15"
32,2022-07-05 01:31:00,"20.42","57.22"
33,2022-07-05 01:32:00,"20.41","57.28"
34,2022-07-05 01:33:00,"20.41","57.5"
35,2022-07-05 01:34:00,"20.39","57.54"
36,2022-07-05 01:35:00,"20.37","57.67"
37,2022-07-05 01:36:00,"20.36","57.73"
38,2022-07-05 01:37:00,"20.34","57.79"
39,2022-07-05 01:38:00,"20.32","57.85"
40,2022-07-05 01:39:00,"20.29","58.02"
41,2022-07-05 01:40:00,"20.28","58.1"
42,2022-07-05 01:41:00,"20.25","58.15"
43,2022-07-05 01:42:00,"20.24","58.24"
44,2022-07-05 01:43:00,"20.23","58.26"
45,2022-07-05 01:44:00,"20.22","58.41"
46,2022-07-05 01:45:00,"20.2","58.42"
47,2022-07-05 01:46:00,"20.18","58.57"
48,2022-07-05 01:47:00,"20.16","58.66"
49,2022-07-05 01:48:00,"20.15","58.8"
50,2022-07-05 01:49:00,"20.13","58.76"
51,2022-07-05 01:50:00,"20.12","59"
52,2022-07-05 01:51:00,"20.1","59.01"
53,2022-07-05 01:52:00,"20.08","59.11"
54,2022-07-05 01:53:00,"20.07","59.31"
55,2022-07-05 01:54:00,"20.06","59.33"
56,2022-07-05 01:55:00,"20.04","59.5"
57,2022-07-05 01:56:00,"20.04","59.59"
58,2022-07-05 01:57:00,"20.03","59.66"
59,2022-07-05 01:58:00,"20.02","59.89"
60,2022-07-05 01:59:00,"20.01","59.97"
61,2022-07-05 02:00:00,"20.02","60.01"
62,2022-07-05 02:01:00,"20.02","60.16"
63,2022-07-05 02:02:00,"20.02","60.28"
64,2022-07-05 02:03:00,"20.02","60.38"
65,2022-07-05 02:04:00,"20.03","60.53"
66,2022-07-05 02:05:00,"20.02","60.61"
67,2022-07-05 02:06:00,"20.02","60.67"
68,2022-07-05 02:07:00,"20","60.86"
69,2022-07-05 02:08:00,"20","60.89"
70,2022-07-05 02:09:00,"19.98","61"
71,2022-07-05 02:10:00,"19.98","60.97"
72,2022-07-05 02:11:00,"19.99","61.15"
73,2022-07-05 02:12:00,"20.01","61.22"
74,2022-07-05 02:13:00,"20.02","61.29"
75,2022-07-05 02:14:00,"20.03","61.48"
76,2022-07-05 02:15:00,"20.01","61.45"
77,2022-07-05 02:16:00,"20.01","61.57"
78,2022-07-05 02:17:00,"20","61.65"
79,2022-07-05 02:18:00,"19.99","61.74"
80,2022-07-05 02:19:00,"19.99","61.83"
81,2022-07-05 02:20:00,"19.96","61.93"
82,2022-07-05 02:21:00,"19.93","62.18"
83,2022-07-05 02:22:00,"19.9","62.23"
84,2022-07-05 02:23:00,"19.86","62.27"
85,2022-07-05 02:24:00,"19.83","62.46"
86,2022-07-05 02:25:00,"19.8","62.53"
87,2022-07-05 02:26:00,"19.79","62.59"
88,2022-07-05 02:27:00,"19.77","62.86"
89,2022-07-05 02:28:00,"19.72","62.91"
90,2022-07-05 02:29:00,"19.7","62.99"
91,2022-07-05 02:30:00,"19.67","63.14"
92,2022-07-05 02:31:00,"19.65","63.13"
93,2022-07-05 02:32:00,"19.63","63.37"
94,2022-07-05 02:33:00,"19.62","63.37"
95,2022-07-05 02:34:00,"19.6","63.54"
96,2022-07-05 02:35:00,"19.58","63.65"
97,2022-07-05 02:36:00,"19.61","63.85"
98,2022-07-05 02:37:00,"19.57","63.83"
99,2022-07-05 02:38:00,"19.56","63.96"
100,2022-07-05 02:39:00,"19.54","64.05"
101,2022-07-05 02:40:00,"19.53","64.22"
102,2022-07-05 02:41:00,"19.51","64.29"
